hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar),
7,1500,2.60349,0.855698,0,0,0.0433915
7,1560,2.48571,0.817007,0,0,0.0414285
7,1620,2.50508,0.823404,0,0,0.041751333333333
7,1680,2.54733,0.837273,0,0,0.0424555
7,1740,2.5483,0.837615,0,0,0.042471666666667
7,1800,2.54324,0.83589,0,0,0.042387333333333
7,1860,2.54606,0.836951,0,0,0.042434333333333
7,1920,2.54607,0.836853,0,0,0.0424345
7,1980,2.50368,0.822953,0,0,0.041728
7,2040,2.50269,0.822538,0,0,0.0417115
7,2100,2.50255,0.822546,0,0,0.041709166666667
7,2160,2.50254,0.822545,0,0,0.041709
7,2220,2.50407,0.823101,0,0,0.0417345
7,2280,2.67174,0.878136,0,0,0.044529
7,2340,2.72606,0.89602,0,0,0.045434333333333
7,2400,2.72819,0.896799,0,0,0.045469833333333
7,2460,2.6749,0.87921,0,0,0.044581666666667
7,2520,2.66371,0.875503,0,0,0.044395166666667
7,2580,2.71674,0.892926,0,0,0.045279
7,2640,2.76659,0.909349,0,0,0.046109833333333
7,2700,2.72302,0.895023,0,0,0.045383666666667
7,2760,2.72203,0.894671,0,0,0.045367166666667
7,2820,0.618748,0.203365,0,0,0.010312466666667
7,2880,0.683243,0.224571,0,0,0.011387383333333
7,2940,0.618643,0.203337,0,0,0.010310716666667
7,3000,0.621285,0.204259,0,0,0.01035475
7,3060,0.617984,0.203119,0,0,0.010299733333333
7,3120,0.617876,0.203073,0,0,0.010297933333333
7,3180,0.61774,0.203036,0,0,0.010295666666667
7,3240,0.617964,0.203116,0,0,0.0102994
7,3300,0.617841,0.203081,0,0,0.01029735
7,3360,0.617901,0.203102,0,0,0.01029835
7,3420,0.54772,0.180025,0,0,0.009128666666667
7,3480,0.547748,0.180032,0,0,0.009129133333333
7,3540,0.590594,0.194108,0,0,0.009843233333333
8,0,0.422351,0.138821,0,0,0.007039183333333
8,60,0.421132,0.13839,0,0,0.007018866666667
8,120,0.42104,0.138388,0,0,0.007017333333333
8,180,0.42245,0.138854,0,0,0.007040833333333
8,240,0.422899,0.139001,0,0,0.007048316666667
8,300,0.353965,0.116342,0,0,0.005899416666667
8,360,0.45319,0.148967,0,0,0.007553166666667
8,420,0.453077,0.148917,0,0,0.007551283333333
8,480,0.458635,0.150749,0,0,0.007643916666667
8,540,0.465852,0.153121,0,0,0.0077642
8,600,0.465927,0.153154,0,0,0.00776545
8,660,0.46812,0.153866,0,0,0.007802
8,720,0.532699,0.175077,0,0,0.008878316666667
8,780,0.524823,0.172499,0,0,0.00874705
8,840,0.588413,0.193396,0,0,0.009806883333333
8,900,0.524003,0.172223,0,0,0.008733383333333
8,960,0.532502,0.175034,0,0,0.008875033333333
8,1020,0.525777,0.172813,0,0,0.00876295
8,1080,0.461935,0.151838,0,0,0.007698916666667
8,1140,0.462099,0.151886,0,0,0.00770165
8,1200,0.511283,0.168058,0,0,0.008521383333333
8,1260,0.511504,0.16813,0,0,0.008525066666667
8,1320,0.511647,0.168173,0,0,0.00852745
8,1380,0.641703,0.210861,0,0,0.01069505
8,1440,0.640898,0.210651,0,0,0.010681633333333
8,1500,0.640853,0.210637,0,0,0.010680883333333
8,1560,0.640964,0.210683,0,0,0.010682733333333
8,1620,0.705641,0.231934,0,0,0.011760683333333
8,1680,0.705238,0.231791,0,0,0.011753966666667
8,1740,0.705126,0.23176,0,0,0.0117521
8,1800,0.706401,0.232186,0,0,0.01177335
8,1860,0.706758,0.232309,0,0,0.0117793
